Objects
100
,,Global Angle 511_24:511_24,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
235,0,-0.0401039,0.0494915,0.13879,-534.493,521.754,95.9646
236,0,-0.0405535,0.0402168,0.135482,-534.185,521.55,97.5577
237,0,-0.0459244,0.0481355,0.137074,-534.011,521.405,98.9079
238,0,-0.0330685,0.0589485,0.131232,-533.835,521.526,100.496
239,0,-0.047364,0.0445307,0.134575,-533.364,521.211,101.939
240,0,-0.057994,0.0311208,0.137893,-532.82,520.978,103.363
241,0,-0.0476493,0.0444266,0.136016,-532.801,521.109,105.186
242,0,-0.046031,0.0389324,0.135662,-532.37,521.133,106.94
243,0,-0.0498754,0.0361777,0.134244,-531.961,521.039,108.658
244,0,-0.0486048,0.0363194,0.13373,-531.595,521.02,110.403
245,0,-0.0523277,0.0349494,0.133904,-531.191,520.984,112.228
246,0,-0.0510879,0.0357751,0.133882,-530.854,521.012,114.07
247,0,-0.0525801,0.0331514,0.134345,-530.421,521.068,116.004
248,0,-0.0527799,0.029967,0.135418,-529.999,521.149,117.953
249,0,-0.0498518,0.0291144,0.135093,-529.615,521.291,119.973
250,0,-0.0520422,0.0266661,0.134142,-529.185,521.36,122.024
251,0,-0.0541779,0.0257813,0.132194,-528.766,521.434,124.12
252,0,-0.056865,0.0257611,0.131335,-528.349,521.537,126.278
253,0,-0.0521648,0.0244688,0.131548,-527.97,521.789,128.355
254,0,-0.0568783,0.0132754,0.133882,-527.343,521.839,130.378
255,0,-0.0336178,0.0277061,0.13304,-527.199,522.32,132.634
256,0,-0.0283468,0.0265381,0.132359,-526.662,522.44,134.608
257,0,0.00233128,0.0509522,0.128075,-526.596,522.846,136.726
258,0,0.0385853,0.0763588,0.1329,-526.259,523.19,138.988
259,0,0.0529142,0.0763345,0.131181,-525.874,523.351,140.768
260,0,0.0663508,0.0780363,0.135168,-525.181,523.284,142.571
261,0,0.0975862,0.10279,0.1307,-524.957,523.474,144.872
262,0,0.151428,0.122987,0.118577,-524.726,523.843,147.031
263,0,0.16487,0.101731,0.111592,-523.463,523.546,149.481
264,0,0.158434,0.114992,0.116547,-523.021,522.906,151.633
265,0,0.121078,0.0930614,0.12891,-521.629,521.66,153.789
266,0,0.100615,0.0642968,0.132058,-520.226,520.498,155.885
267,0,0.0889709,0.0509736,0.128946,-519.029,519.307,158.222
268,0,0.0918893,0.037939,0.12894,-517.803,518.25,160.534
269,0,0.10156,0.0444826,0.12354,-516.905,517.11,162.879
